group,title,year,source_type,identifier,url,pdf_url,local_payload
Skeleton/action architectures,Revisiting Skeleton-based Action Recognition / PoseC3D,2021,arXiv,2104.13586,https://arxiv.org/abs/2104.13586,https://arxiv.org/pdf/2104.13586.pdf,URL file + manifest entry; PDF download script included
Skeleton/action architectures,Multi-Scale Spatial Temporal Graph Convolutional Network for Skeleton-Based Action Recognition,2022,arXiv,2206.13028,https://arxiv.org/abs/2206.13028,https://arxiv.org/pdf/2206.13028.pdf,URL file + manifest entry; PDF download script included
Skeleton/action architectures,A Survey on 3D Skeleton-Based Action Recognition Using Learning Method,2020,arXiv,2002.05907,https://arxiv.org/abs/2002.05907,https://arxiv.org/pdf/2002.05907.pdf,URL file + manifest entry; PDF download script included
Skeleton robustness,Richly Activated Graph Convolutional Network for Action Recognition with Incomplete Skeletons,2019,arXiv,1905.06774,https://arxiv.org/abs/1905.06774,https://arxiv.org/pdf/1905.06774.pdf,URL file + manifest entry; PDF download script included
Skeleton robustness,Richly Activated Graph Convolutional Network for Robust Skeleton-based Action Recognition,2020,arXiv,2008.03791,https://arxiv.org/abs/2008.03791,https://arxiv.org/pdf/2008.03791.pdf,URL file + manifest entry; PDF download script included
Skeleton robustness,Pose Refinement Graph Convolutional Network for Skeleton-based Action Recognition,2020,arXiv,2010.07367,https://arxiv.org/abs/2010.07367,https://arxiv.org/pdf/2010.07367.pdf,URL file + manifest entry; PDF download script included
Skeleton metric learning,SL-DML: Signal Level Deep Metric Learning for Multimodal One-Shot Action Recognition,2020,arXiv,2004.11085,https://arxiv.org/abs/2004.11085,https://arxiv.org/pdf/2004.11085.pdf,URL file + manifest entry; PDF download script included
Skeleton metric learning,Skeleton-DML: Deep Metric Learning for Skeleton-Based One-Shot Action Recognition,2020,arXiv,2012.13823,https://arxiv.org/abs/2012.13823,https://arxiv.org/pdf/2012.13823.pdf,URL file + manifest entry; PDF download script included
Dataset paper,UCF101: A Dataset of 101 Human Actions Classes From Videos in The Wild,2012,arXiv,1212.0402,https://arxiv.org/abs/1212.0402,https://arxiv.org/pdf/1212.0402.pdf,URL file + manifest entry; PDF download script included
Dataset paper,The KIT Motion-Language Dataset,2016,arXiv,1607.03827,https://arxiv.org/abs/1607.03827,https://arxiv.org/pdf/1607.03827.pdf,URL file + manifest entry; PDF download script included
Dataset paper,AMASS: Archive of Motion Capture as Surface Shapes,2019,arXiv,1904.03278,https://arxiv.org/abs/1904.03278,https://arxiv.org/pdf/1904.03278.pdf,URL file + manifest entry; PDF download script included
Dataset paper,NTU RGB+D 120: A Large-Scale Benchmark for 3D Human Activity Understanding,2019,arXiv,1905.04757,https://arxiv.org/abs/1905.04757,https://arxiv.org/pdf/1905.04757.pdf,URL file + manifest entry; PDF download script included
Dataset paper,FineGym: A Hierarchical Video Dataset for Fine-grained Action Understanding,2020,arXiv,2004.06704,https://arxiv.org/abs/2004.06704,https://arxiv.org/pdf/2004.06704.pdf,URL file + manifest entry; PDF download script included
Dataset paper,"BABEL: Bodies, Action and Behavior with English Labels",2021,arXiv,2106.09696,https://arxiv.org/abs/2106.09696,https://arxiv.org/pdf/2106.09696.pdf,URL file + manifest entry; PDF download script included
Dataset paper,H3WB: Human3.6M 3D WholeBody Dataset and Benchmark,2022,arXiv,2211.15692,https://arxiv.org/abs/2211.15692,https://arxiv.org/pdf/2211.15692.pdf,URL file + manifest entry; PDF download script included
Dataset paper,SportsPose: A Dynamic 3D Sports Pose Dataset,2023,arXiv,2304.01865,https://arxiv.org/abs/2304.01865,https://arxiv.org/pdf/2304.01865.pdf,URL file + manifest entry; PDF download script included
Contextual metric learning,Supervised Metric Learning to Rank for Retrieval via Contextual Similarity Optimization,2022/2023,arXiv,2210.01908,https://arxiv.org/abs/2210.01908,https://arxiv.org/pdf/2210.01908.pdf,URL file + manifest entry; PDF download script included
Metric learning background,A Metric Learning Reality Check,2020,arXiv,2003.08505,https://arxiv.org/abs/2003.08505,https://arxiv.org/pdf/2003.08505.pdf,URL file + manifest entry; PDF download script included
Metric learning background,Supervised Contrastive Learning,2020,arXiv,2004.11362,https://arxiv.org/abs/2004.11362,https://arxiv.org/pdf/2004.11362.pdf,URL file + manifest entry; PDF download script included
Metric learning background,PyTorch Metric Learning,2020,arXiv,2008.09164,https://arxiv.org/abs/2008.09164,https://arxiv.org/pdf/2008.09164.pdf,URL file + manifest entry; PDF download script included
Metric learning background,Classification is a Strong Baseline for Deep Metric Learning,2018,arXiv,1811.12649,https://arxiv.org/abs/1811.12649,https://arxiv.org/pdf/1811.12649.pdf,URL file + manifest entry; PDF download script included
Metric learning background,Smooth-AP: Smoothing the Path Towards Large-Scale Image Retrieval,2020,arXiv,2007.12163,https://arxiv.org/abs/2007.12163,https://arxiv.org/pdf/2007.12163.pdf,URL file + manifest entry; PDF download script included
Metric learning background,Self-Taught Metric Learning without Labels,2022,arXiv,2205.01903,https://arxiv.org/abs/2205.01903,https://arxiv.org/pdf/2205.01903.pdf,URL file + manifest entry; PDF download script included
Vector retrieval,The FAISS Library,2024,arXiv,2401.08281,https://arxiv.org/abs/2401.08281,https://arxiv.org/pdf/2401.08281.pdf,URL file + manifest entry; PDF download script included
Kulis paper named reference: Metric-learning foundation,Dimensionality Reduction by Learning an Invariant Mapping / Contrastive Loss,2006,paper/reference,"Hadsell, Chopra, LeCun",https://yann.lecun.com/exdb/publis/pdf/hadsell-chopra-lecun-06.pdf,https://yann.lecun.com/exdb/publis/pdf/hadsell-chopra-lecun-06.pdf,URL file + manifest entry
Kulis paper named reference: Metric-learning foundation,Distance Metric Learning for Large Margin Nearest Neighbor Classification,2005,paper/reference,"Weinberger, Blitzer, Saul",https://proceedings.neurips.cc/paper/2005/hash/a7f592cef8b130a6967a90617db5681b-Abstract.html,,URL file + manifest entry
Kulis paper named reference: Metric-learning foundation,Sampling Matters in Deep Embedding Learning,2017,paper/reference,Wu et al.,https://arxiv.org/abs/1706.07567,,URL file + manifest entry
Kulis paper named reference: Metric-learning foundation,Deep Metric Learning via Lifted Structured Feature Embedding,2016,paper/reference,Song et al.,https://arxiv.org/abs/1511.06452,,URL file + manifest entry
Kulis paper named reference: Metric-learning foundation,Multi-Similarity Loss with General Pair Weighting for Deep Metric Learning,2019,paper/reference,Wang et al.,https://arxiv.org/abs/1904.06627,,URL file + manifest entry
Kulis paper named reference: Metric-learning foundation,Proxy Anchor Loss for Deep Metric Learning,2020,paper/reference,Kim et al.,https://arxiv.org/abs/2003.13911,,URL file + manifest entry
Kulis paper named reference: Metric-learning foundation,No Fuss Distance Metric Learning using Proxies / Proxy-NCA,2017,paper/reference,Movshovitz-Attias et al.,https://arxiv.org/abs/1703.07464,,URL file + manifest entry
Kulis paper named reference: Ranking/listwise objective,Metric Learning to Rank,2010,paper/reference,McFee and Lanckriet,https://icml.cc/Conferences/2010/papers/149.pdf,https://icml.cc/Conferences/2010/papers/149.pdf,URL file + manifest entry
Kulis paper named reference: Ranking/listwise objective,Deep Metric Learning to Rank,2019,paper/reference,Cakir et al.,https://openaccess.thecvf.com/content_CVPR_2019/html/Cakir_Deep_Metric_Learning_to_Rank_CVPR_2019_paper.html,,URL file + manifest entry
Kulis paper named reference: Ranking/listwise objective,Learning with Average Precision: Training Image Retrieval with a Listwise Loss,2019,paper/reference,Revaud et al.,https://arxiv.org/abs/1906.07589,,URL file + manifest entry
Kulis paper named reference: Ranking/listwise objective,Optimizing Rank-Based Metrics with Blackbox Differentiation,2020,paper/reference,Rolínek et al.,https://arxiv.org/abs/1912.03500,,URL file + manifest entry
Kulis paper named reference: Contextual/re-ranking,Re-ranking Person Re-identification with k-reciprocal Encoding,2017,paper/reference,Zhong et al.,https://arxiv.org/abs/1701.08398,,URL file + manifest entry
Kulis paper named reference: Person re-identification survey,Deep Learning for Person Re-identification: A Survey and Outlook,2020,paper/reference,Ye et al.,https://arxiv.org/abs/2001.04193,,URL file + manifest entry
Kulis paper named reference: Hyperbolic/hierarchical metric learning,Hyperbolic Image Embeddings,2020,paper/reference,Khrulkov et al.,https://arxiv.org/abs/1904.02239,,URL file + manifest entry
Kulis paper named reference: Hyperbolic/hierarchical metric learning,Unsupervised Hyperbolic Metric Learning,2023,paper/reference,Desai et al.,https://arxiv.org/abs/2301.08524,,URL file + manifest entry
Kulis paper named reference: Noisy-label / hierarchy,Adaptive Hierarchical Similarity Metric Learning with Noisy Labels,,paper/reference,Named in Kulis-paper reference map; verify exact bibliographic record before citing formally,https://scholar.google.com/scholar?q=Adaptive+Hierarchical+Similarity+Metric+Learning+with+Noisy+Labels,,URL file + manifest entry
Contextual metric learning implementation,metric-learning-using-contextual-similarity,,GitHub repository,,https://github.com/Chris210634/metric-learning-using-contextual-similarity,,URL file + clone script included
Motion representation baseline,MotionBERT,,GitHub repository,,https://github.com/Walter0807/MotionBERT,,URL file + clone script included
Motion representation / CLIP-space code,MotionCLIP,,GitHub repository,,https://github.com/GuyTevet/MotionCLIP,,URL file + clone script included
View-invariant probabilistic pose embedding,POEM / Pr-VIPE,,GitHub repository,,https://github.com/google-research/google-research/tree/master/poem,,URL file + clone script included
Skeleton/action recognition toolbox,MMAction2,,GitHub repository,,https://github.com/open-mmlab/mmaction2,,URL file + clone script included
Classical skeleton-action baseline,ST-GCN PyTorch,,GitHub repository,,https://github.com/yysijie/st-gcn,,URL file + clone script included
Text-to-motion retrieval baseline,text-to-motion-retrieval,,GitHub repository,,https://github.com/mesnico/text-to-motion-retrieval,,URL file + clone script included
Brian Kulis profile,Brian Kulis personal BU page,,web/source,,https://people.bu.edu/bkulis/,,URL file + manifest entry
Brian Kulis profile,BU Faculty of Computing & Data Sciences profile,,web/source,,https://www.bu.edu/cds-faculty/profile/brian-kulis/,,URL file + manifest entry
Dataset/source,AMASS website,,web/source,,https://amass.is.tue.mpg.de/,,URL file + manifest entry
Dataset/source,BABEL website,,web/source,,https://babel.is.tue.mpg.de/,,URL file + manifest entry
Dataset/source,HumanML3D GitHub,,web/source,,https://github.com/EricGuo5513/HumanML3D,,URL file + manifest entry
